courseID|courseURL|word
temporomandibulares|https://educacionvirtual.javeriana.edu.co/temporomandibulares|complementarios
temporomandibulares|https://educacionvirtual.javeriana.edu.co/temporomandibulares|actualmente
temporomandibulares|https://educacionvirtual.javeriana.edu.co/temporomandibulares|gnatico
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|peruana
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|busquets
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|opciones
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|explicar
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|trespalacios
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|veganos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|acerca
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|mantequilla
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|posible
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|utensilios
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|desayunos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|gluten
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|tener
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|laborado
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|total
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|restaurante
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|sustitutos
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|fermentaciones
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|basque
reposteria-j-colombia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia|juanita
