courseID|courseURL|word|course_url
temporomandibulares||mismas|https://educacionvirtual.javeriana.edu.co/temporomandibulares
temporomandibulares||adecuado|https://educacionvirtual.javeriana.edu.co/temporomandibulares
temporomandibulares||importancia|https://educacionvirtual.javeriana.edu.co/temporomandibulares
reposteria-j-colombia||lista|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||veganos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||alumno|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||perfeccionamiento|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||laborado|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||incluyendo|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||estudios|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||fermentaciones|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||opciones|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||ganache|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||estudiantes|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||conocer|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||gluten|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||tradicional|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||naturales|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||condensada|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||cremas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||graduada|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||harinas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||bizcocho|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||clases|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||posible|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||generales|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||aptos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||dictadas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||online|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||quieran|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||estas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||marisol|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||tanto|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||amplia|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||consultora|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||culinary|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||granos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||emprendimiento|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||tradicionales|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||salto|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||alternativas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||ofrecer|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||masas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||aplicadas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||relacionada|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||inicial|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||variar|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||explicar|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||endulzantes|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||total|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||dividen|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||frutas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||pandebonos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||crema|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||innovar|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||ingrediente|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||gerente|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||clase|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||quebradas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||huevo|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||torta|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||generar|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||moreno|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||turismo|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||sustitutos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||procedimientos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||restaurantes|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||juanita|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||carbohidratos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||institut|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||tener|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||llevado|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||requieren|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||momento|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||colombianos|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
reposteria-j-colombia||mermeladas|https://educacionvirtual.javeriana.edu.co/reposteria-j-colombia
